ts_code,ann_date,end_date,holder_name,hold_amount,hold_ratio,hold_float_ratio,hold_change,holder_type
600030.SH,20251025,20250930,香港中央结算(代理人)有限公司,2185074115.0,14.7435,,80212.0,一般企业
600030.SH,20251025,20250930,中央汇金资产管理有限责任公司,205146964.0,1.3842,1.6848,0.0,资产管理公司
600030.SH,20251025,20250930,中国中信金融控股有限公司,2733961712.0,18.4471,18.8859,0.0,一般企业
600030.SH,20251025,20250930,广州越秀资本控股集团有限公司,626191828.0,4.2252,5.1426,0.0,一般企业
600030.SH,20251025,20250930,中国建设银行股份有限公司-国泰中证全指证券公司交易型开放式指数证券投资基金,252226069.0,1.7019,2.0714,,开放式投资基金
600030.SH,20251025,20250930,香港中央结算有限公司,500843010.0,3.3794,4.1132,-83446936.0,一般企业
600030.SH,20251025,20250930,广州越秀资本控股集团股份有限公司,276764912.0,1.8674,2.2729,0.0,一般企业
600030.SH,20251025,20250930,中国工商银行股份有限公司-华泰柏瑞沪深300交易型开放式指数证券投资基金,166496055.0,1.1234,1.3674,-7140547.0,开放式投资基金
600030.SH,20251025,20250930,大成基金-农业银行-大成中证金融资产管理计划,176785229.0,1.1928,1.4519,79.0,基金专户理财
600030.SH,20251025,20250930,中国工商银行-上证50交易型开放式指数证券投资基金,186416091.0,1.2578,1.5309,-4961596.0,开放式投资基金
600030.SH,20250829,20250630,中国中信金融控股有限公司,2733961712.0,18.4471,18.8859,434311604.0,一般企业
600030.SH,20250829,20250630,香港中央结算(代理人)有限公司,2184993903.0,14.743,,-434311804.0,一般企业
600030.SH,20250829,20250630,广州越秀资本控股集团有限公司,626191828.0,4.2252,5.1426,0.0,一般企业
600030.SH,20250829,20250630,香港中央结算有限公司,584289946.0,3.9424,4.7985,28570384.0,一般企业
600030.SH,20250829,20250630,广州越秀资本控股集团股份有限公司,276764912.0,1.8674,2.2729,0.0,一般企业
600030.SH,20250829,20250630,中央汇金资产管理有限责任公司,205146964.0,1.3842,1.6848,0.0,资产管理公司
600030.SH,20250829,20250630,中国工商银行-上证50交易型开放式指数证券投资基金,191377687.0,1.2913,1.5717,12728310.0,开放式投资基金
600030.SH,20250829,20250630,大成基金-农业银行-大成中证金融资产管理计划,176785150.0,1.1928,1.4518,0.0,基金专户理财
600030.SH,20250829,20250630,中国工商银行股份有限公司-华泰柏瑞沪深300交易型开放式指数证券投资基金,173636602.0,1.1716,1.426,,开放式投资基金
600030.SH,20250829,20250630,华夏基金-农业银行-华夏中证金融资产管理计划,166143027.0,1.121,1.3645,0.0,基金专户理财
600030.SH,20250430,20250331,中国建设银行股份有限公司-国泰中证全指证券公司交易型开放式指数证券投资基金,166094100.0,1.1207,1.364,,开放式投资基金
600030.SH,20250430,20250331,香港中央结算(代理人)有限公司,2619305707.0,17.6735,,0.0,一般企业
600030.SH,20250430,20250331,中国中信金融控股有限公司,2299650108.0,15.5166,18.8859,0.0,一般企业
600030.SH,20250430,20250331,广州越秀资本控股集团有限公司,626191828.0,4.2252,5.1426,0.0,一般企业
600030.SH,20250430,20250331,香港中央结算有限公司,555719562.0,3.7497,4.5639,12851363.0,一般企业
600030.SH,20250430,20250331,广州越秀资本控股集团股份有限公司,276764912.0,1.8674,2.2729,0.0,一般企业
600030.SH,20250430,20250331,中央汇金资产管理有限责任公司,205146964.0,1.3842,1.6848,0.0,资产管理公司
600030.SH,20250430,20250331,中国工商银行-上证50交易型开放式指数证券投资基金,178649377.0,1.2054,1.4672,-4727886.0,开放式投资基金
600030.SH,20250430,20250331,大成基金-农业银行-大成中证金融资产管理计划,176785150.0,1.1928,1.4518,0.0,基金专户理财
600030.SH,20250430,20250331,华夏基金-农业银行-华夏中证金融资产管理计划,166143027.0,1.121,1.3645,0.0,基金专户理财
600030.SH,20250327,20241231,广州越秀资本控股集团有限公司,626191828.0,4.2252,5.1426,0.0,一般企业
600030.SH,20250327,20241231,香港中央结算(代理人)有限公司,2619305707.0,17.6735,,126277403.0,一般企业
600030.SH,20250327,20241231,中央汇金资产管理有限责任公司,205146964.0,1.3842,1.6848,0.0,资产管理公司
600030.SH,20250327,20241231,大成基金-农业银行-大成中证金融资产管理计划,176785150.0,1.1928,1.4518,0.0,基金专户理财
600030.SH,20250327,20241231,中国中信金融控股有限公司,2299650108.0,15.5166,18.8859,0.0,一般企业
600030.SH,20250327,20241231,中国工商银行-上证50交易型开放式指数证券投资基金,183377263.0,1.2373,1.506,-9250273.0,开放式投资基金
600030.SH,20250327,20241231,香港中央结算有限公司,542868199.0,3.6629,4.4583,15509539.0,一般企业
600030.SH,20250327,20241231,广州越秀资本控股集团股份有限公司,276764912.0,1.8674,2.2729,-28391033.0,一般企业
600030.SH,20250327,20241231,中国工商银行股份有限公司-华泰柏瑞沪深300交易型开放式指数证券投资基金,168527831.0,1.1371,1.384,-14531830.0,开放式投资基金
600030.SH,20250327,20241231,华夏基金-农业银行-华夏中证金融资产管理计划,166143027.0,1.121,1.3645,,基金专户理财
600030.SH,20241030,20240930,香港中央结算(代理人)有限公司,2493028304.0,16.8214,,-125981343.0,一般企业
600030.SH,20241030,20240930,中国中信金融控股有限公司,2299650108.0,15.5166,18.8859,0.0,一般企业
600030.SH,20241030,20240930,广州越秀资本控股集团有限公司,626191828.0,4.2252,5.1426,,一般企业
600030.SH,20241030,20240930,香港中央结算有限公司,527358660.0,3.5583,4.3309,58234381.0,一般企业
600030.SH,20241030,20240930,广州越秀资本控股集团股份有限公司,305155945.0,2.059,2.5061,,一般企业
600030.SH,20241030,20240930,中央汇金资产管理有限责任公司,205146964.0,1.3842,1.6848,0.0,资产管理公司
600030.SH,20241030,20240930,中国工商银行-上证50交易型开放式指数证券投资基金,192627536.0,1.2997,1.582,,开放式投资基金
600030.SH,20241030,20240930,中国工商银行股份有限公司-华泰柏瑞沪深300交易型开放式指数证券投资基金,183059661.0,1.2352,1.5034,,开放式投资基金
600030.SH,20241030,20240930,中国建设银行股份有限公司-国泰中证全指证券公司交易型开放式指数证券投资基金,181484022.0,1.2245,1.4904,-38426701.0,开放式投资基金
600030.SH,20241030,20240930,大成基金-农业银行-大成中证金融资产管理计划,176785150.0,1.1928,1.4518,0.0,基金专户理财
600030.SH,20240829,20240630,香港中央结算(代理人)有限公司,2619009647.0,17.6715,,1931.0,一般企业
600030.SH,20240829,20240630,中国中信金融控股有限公司,2299650108.0,15.5166,20.4501,0.0,一般企业
600030.SH,20240829,20240630,香港中央结算有限公司,469124279.0,3.1654,4.1718,-33308765.0,一般企业
