ts_code,name,trade_date,phase,accumulation_score,score_level,spring,sos,minute_entry_ready,minute_reason,status
600009.SH,上海机场,20260227,B,42.81,neutral_range,0,0,0,no_confirmed_intraday_entry,ok
600000.SH,浦发银行,20260227,A,42.2,neutral_range,0,0,0,no_confirmed_intraday_entry,ok
300760.SZ,迈瑞医疗,20260227,B,41.53,neutral_range,0,0,0,no_confirmed_intraday_entry,ok
600109.SH,国金证券,20260227,B,36.23,no_accumulation,0,0,0,no_confirmed_intraday_entry,ok
000001.SZ,平安银行,20260227,B,32.11,no_accumulation,0,0,0,no_confirmed_intraday_entry,ok
600104.SH,上汽集团,20260227,B,30.19,no_accumulation,0,0,0,no_confirmed_intraday_entry,ok
600030.SH,中信证券,20260227,B,29.67,no_accumulation,0,0,0,no_confirmed_intraday_entry,ok
600887.SH,伊利股份,20260227,B,29.16,no_accumulation,0,0,0,no_confirmed_intraday_entry,ok
600900.SH,长江电力,20260227,B,28.54,no_accumulation,0,0,0,no_confirmed_intraday_entry,ok
600519.SH,贵州茅台,20260227,B,28.33,no_accumulation,0,0,0,no_confirmed_intraday_entry,ok
600036.SH,招商银行,20260227,B,26.46,no_accumulation,0,0,0,no_confirmed_intraday_entry,ok
000858.SZ,五粮液,20260227,B,26.04,no_accumulation,0,0,0,no_confirmed_intraday_entry,ok
600048.SH,保利发展,20260227,B,21.25,no_accumulation,0,0,1,break_30m_high_and_volume_expand,ok
601398.SH,工商银行,20260227,A,20.42,no_accumulation,0,0,0,no_confirmed_intraday_entry,ok
603259.SH,药明康德,20260227,B,18.09,no_accumulation,0,0,0,no_confirmed_intraday_entry,ok
